datetime,actual,predicted
2018-03-18,28018.416666666668,36563.83505649794
2018-03-19,30023.958333333332,36563.83505649754
2018-03-20,33334.666666666664,36563.835056497584
2018-03-21,33738.166666666664,36563.835056497825
2018-03-22,31931.416666666668,36563.83505649804
2018-03-23,30775.958333333332,36563.835056498145
2018-03-24,28216.291666666668,36563.835056498145
2018-03-25,28642.375,36563.8350564981
2018-03-26,30686.708333333332,36563.83505649805
2018-03-27,31483.0,36563.83505649802
2018-03-28,30032.833333333332,36563.83505649802
2018-03-29,27923.291666666668,36563.83505649803
2018-03-30,26191.0,36563.835056498036
2018-03-31,25214.041666666668,36563.83505649804
2018-04-01,24265.0,36563.83505649804
2018-04-02,29014.208333333332,36563.83505649804
2018-04-03,30574.458333333332,36563.83505649804
2018-04-04,28911.083333333332,36563.83505649804
2018-04-05,30203.833333333332,36563.83505649804
2018-04-06,29153.833333333332,36563.83505649804
2018-04-07,26862.5,36563.83505649804
2018-04-08,27447.0,36563.83505649804
2018-04-09,30637.5,36563.83505649804
2018-04-10,29610.291666666668,36563.83505649804
2018-04-11,29411.5,36563.83505649804
2018-04-12,27810.958333333332,36563.83505649804
2018-04-13,26463.541666666668,36563.83505649804
2018-04-14,24966.958333333332,36563.83505649804
2018-04-15,25127.0,36563.83505649804
2018-04-16,28658.625,36563.83505649804
2018-04-17,29924.833333333332,36563.83505649804
2018-04-18,28888.958333333332,36563.83505649804
2018-04-19,28949.958333333332,36563.83505649804
2018-04-20,28522.791666666668,36563.83505649804
2018-04-21,25499.166666666668,36563.83505649804
2018-04-22,23878.875,36563.83505649804
2018-04-23,26121.125,36563.83505649804
2018-04-24,26505.166666666668,36563.83505649804
2018-04-25,26959.958333333332,36563.83505649804
2018-04-26,25847.041666666668,36563.83505649804
2018-04-27,26166.875,36563.83505649804
2018-04-28,23777.708333333332,36563.83505649804
2018-04-29,23541.916666666668,36563.83505649804
2018-04-30,26895.333333333332,36563.83505649804
2018-05-01,26626.916666666668,36563.83505649804
2018-05-02,28349.666666666668,36563.83505649804
2018-05-03,32229.541666666668,36563.83505649804
2018-05-04,32975.291666666664,36563.83505649804
2018-05-05,26163.125,36563.83505649804
2018-05-06,23796.083333333332,36563.83505649804
2018-05-07,26640.541666666668,36563.83505649804
2018-05-08,27005.75,36563.83505649804
2018-05-09,27441.708333333332,36563.83505649804
2018-05-10,27695.833333333332,36563.83505649804
2018-05-11,27865.333333333332,36563.83505649804
2018-05-12,25662.083333333332,36563.83505649804
2018-05-13,24001.5,36563.83505649804
2018-05-14,27317.833333333332,36563.83505649804
2018-05-15,31481.666666666668,36563.83505649804
2018-05-16,29049.833333333332,36563.83505649804
2018-05-17,28035.208333333332,36563.83505649804
2018-05-18,27227.833333333332,36563.83505649804
2018-05-19,24720.291666666668,36563.83505649804
2018-05-20,27146.333333333332,36563.83505649804
2018-05-21,29615.458333333332,36563.83505649804
2018-05-22,28450.0,36563.83505649804
2018-05-23,29923.125,36563.83505649804
2018-05-24,30461.5,36563.83505649804
2018-05-25,31925.541666666668,36563.83505649804
2018-05-26,33316.916666666664,36563.83505649804
2018-05-27,28984.208333333332,36563.83505649804
2018-05-28,25457.458333333332,36563.83505649804
2018-05-29,32802.083333333336,36563.83505649804
2018-05-30,32784.833333333336,36563.83505649804
2018-05-31,31445.0,36563.83505649804
2018-06-01,34767.416666666664,36563.83505649804
2018-06-02,33292.125,36563.83505649804
2018-06-03,26070.291666666668,36563.83505649804
2018-06-04,27152.75,36563.83505649804
2018-06-05,28280.958333333332,36563.83505649804
2018-06-06,27839.0,36563.83505649804
2018-06-07,28615.708333333332,36563.83505649804
2018-06-08,30924.625,36563.83505649804
2018-06-09,30465.583333333332,36563.83505649804
2018-06-10,27027.458333333332,36563.83505649804
2018-06-11,27287.958333333332,36563.83505649804
2018-06-12,27915.083333333332,36563.83505649804
2018-06-13,31366.75,36563.83505649804
2018-06-14,33066.708333333336,36563.83505649804
2018-06-15,30615.041666666668,36563.83505649804
2018-06-16,29337.041666666668,36563.83505649804
2018-06-17,32630.0,36563.83505649804
2018-06-18,39504.041666666664,36563.83505649804
2018-06-19,40480.583333333336,36563.83505649804
2018-06-20,35744.583333333336,36563.83505649804
2018-06-21,35393.166666666664,36563.83505649804
2018-06-22,31334.333333333332,36563.83505649804
2018-06-23,27684.875,36563.83505649804
2018-06-24,31802.708333333332,36563.83505649804
2018-06-25,33504.125,36563.83505649804
2018-06-26,31780.416666666668,36563.83505649804
2018-06-27,31319.75,36563.83505649804
2018-06-28,36902.333333333336,36563.83505649804
2018-06-29,38752.583333333336,36563.83505649804
2018-06-30,38253.916666666664,36563.83505649804
2018-07-01,39791.125,36563.83505649804
2018-07-02,42294.875,36563.83505649804
2018-07-03,43149.916666666664,36563.83505649804
2018-07-04,39646.875,36563.83505649804
2018-07-05,41321.916666666664,36563.83505649804
2018-07-06,39145.25,36563.83505649804
2018-07-07,28926.5,36563.83505649804
2018-07-08,28616.791666666668,36563.83505649804
2018-07-09,34410.166666666664,36563.83505649804
2018-07-10,38316.041666666664,36563.83505649804
2018-07-11,39626.333333333336,36563.83505649804
2018-07-12,36770.458333333336,36563.83505649804
2018-07-13,36047.166666666664,36563.83505649804
2018-07-14,34942.666666666664,36563.83505649804
2018-07-15,34204.083333333336,36563.83505649804
2018-07-16,40389.916666666664,36563.83505649804
2018-07-17,40802.875,36563.83505649804
2018-07-18,36402.458333333336,36563.83505649804
2018-07-19,34624.541666666664,36563.83505649804
2018-07-20,34887.708333333336,36563.83505649804
2018-07-21,29329.75,36563.83505649804
2018-07-22,31062.25,36563.83505649804
2018-07-23,37556.375,36563.83505649804
2018-07-24,38382.875,36563.83505649804
2018-07-25,37062.166666666664,36563.83505649804
2018-07-26,38115.666666666664,36563.83505649804
2018-07-27,38191.5,36563.83505649804
2018-07-28,34495.75,36563.83505649804
2018-07-29,32162.916666666668,36563.83505649804
2018-07-30,32957.416666666664,36563.83505649804
2018-07-31,34539.083333333336,36563.83505649804
2018-08-01,39088.541666666664,36563.83505649804
2018-08-02,39593.041666666664,36563.83505649804
2018-08-03,35486.0,36563.83505649804
